"面积","房型","装修","租金压付","租金","楼层","所属区域","所在小区","朝向","租赁方式","类型","位置","标题"
"100平米","2室1厅1卫","简单装修","半年付","2200元/月","7/7","莲湖","太空花园","南北","整租","普通住宅","丰庆公园","太空花园 两室南北通透 出行方便 生活配套齐全 拎包入住"
"95平米","3室2厅1卫","精装修","半年付押1","2400元/月","3/18","雁塔","中海凯旋门","朝南","整租","普通住宅","曲江城市运动公园","曲江二期中海凯旋门+紧邻公园地铁4号线精装三室空房出租"
"20平米","3室1厅1卫","精装修","付3押1","888元/月","15/30","雁塔","龙城铭园","朝西","合租","普通住宅","鱼化寨","西安软件园、三家合租、年底甩啦、租完回家过年、随时看、拎包住"
"61平米","2室2厅1卫","精装修","半年付","2300元/月","4/30","雁塔","城市皇冠","朝北","整租","普通住宅","光华路","高新四路 城市皇冠 精装小两室拎包入住 近地铁 配套齐全"
"103平米","2室2厅1卫","简单装修","付3押1","1600元/月","7/30","灞桥","长乐壹号","朝北","整租","普通住宅","长乐坡","长乐坡地铁口 长乐壹号 两室空房 办公居家都可以"
"141平米","3室2厅2卫","精装修","半年付","2400元/月","24/32","灞桥","恒大绿洲","南北","整租","普通住宅","长乐坡","城东 恒大绿洲 三室精装 家具家电齐全 看房方便"
"180平米","4室2厅2卫","精装修","半年付","3000元/月","4/7","未央","雅荷智能家园","南北","整租","普通住宅","市图书馆","急租 新出来好房 精装修大平层 可办公 可自住 采光美 舒适"
"214平米","5室2厅3卫","豪华装修","面议","15000元/月","2/18","雁塔","碧水西岸南湖1号","南北","整租","普通住宅","南湖","全景观湖大平层 豪装全配 拎包入住 带一车位 南湖一号"
"116平米","3室2厅2卫","精装修","半年付","3200元/月","2/7","雁塔","高科花园二三期","南北","整租","普通住宅","科技路","温馨宽敞三室 户型方正 南北通透拎包入住"
"129平米","3室2厅2卫","精装修","付3押1","3600元/月","5/11","雁塔","天地源枫林绿洲","南北","整租","普通住宅","高新一中","科技四路 枫林绿洲 精装三室 三小对面 陪读居家工作*"
"80平米","2室2厅1卫","豪华装修","半年付","2800元/月","18/32","莲湖","嘉天Smart","朝南","整租","普通住宅","丰庆公园","嘉天smart  豪华装修两居室 全新家私 拎包入住 有钥匙"
"108平米","2室2厅1卫","精装修","付3押1","2000元/月","17/32","雁塔","绿港花园","朝南","整租","普通住宅","高新一中","好房来袭 高新六路与科技四路 绿港花园 精装两室全配拎包入住"
"90平米","2室2厅1卫","简单装修","半年付","1800元/月","28/31","未央","汇通太古城","朝南","整租","普通住宅","北苑","凤城十二路 汇通太古城 简装两室 全南朝向"
"158平米","3室2厅2卫","精装修","半年付","4499元/月","18/28","雁塔","唐南香榭","南北","整租","普通住宅","科技路","紧挨地铁口 唐南香榭 四室精装全配 软件园附近 随时拎包住"
"402平米","7室2厅5卫","精装修","面议","12500元/月","12/12","雁塔","钻石半岛(公寓)","南北","整租","普通住宅","雁塔南路","曲江一期 钻石半岛 品质 拎包入住 会所居家办公民宿均可"
"100平米","2室2厅1卫","精装修","半年付押1","2300元/月","17/24","雁塔","枫韵蓝湾","东南","整租","普通住宅","大寨路","雁塔区 科技路 紧邻三号线地铁口 周边配套齐 生活气息浓"
"141平米","3室2厅2卫","精装修","半年付","4500元/月","9/33","雁塔","中海御湖","东北","整租","普通住宅","大唐芙蓉园","境商速递：中海御湖 精全三室 拎包入住 临近地铁"
"92平米","2室2厅1卫","简单装修","半年付","1800元/月","7/32","未央","海荣名城","朝北","整租","普通住宅","行政中心","行政中心张家堡凤城九路海荣名城两房出租带家具"
"153平米","3室2厅2卫","精装修","年付","5800元/月","31/33","未央","白桦林间","南北","整租","普通住宅","行政中心","凤城九路白桦林间3室精装全配出租、高端社区环境贴心的物业服务"
"130平米","2室2厅1卫","简单装修","面议","2500元/月","13/25","碑林","自在广场","朝南","整租","普通住宅","西工大","急租急租！西工大自在广场空房便宜出租！离学校3min路程"
"52平米","1室1卫","精装修","面议","1899元/月","15/31","雁塔","糖果house","朝南","整租","普通住宅","木塔寺公园","枫林意树旁糖果纯南精装一室一厅，年后房子不好找哦"
"30平米","3室1厅1卫","精装修","付1押1","900元/月","19/30","雁塔","明德8英里","朝南","合租","普通住宅","电视塔","会展中心地铁口 电视塔 明德门十字 精装女神主卧 月付可做饭"
"50平米","1室1厅1卫","简单装修","半年付押1","1200元/月","33/33","未央","海荣盐张东区","朝北","整租","普通住宅","行政中心","地铁口 汉神购物广场 海荣盐张东区 一室部分配 可拎包入住"
"150平米","4室2厅2卫","精装修","半年付","3800元/月","20/32","新城","宫园壹号","南北","整租","普通住宅","北关","龙首原地铁口 宫园壹号 办公好房 市政供暖 采光好 急租"
"90平米","2室1厅1卫","精装修","面议","2000元/月","9/25","雁塔","恒大国际公寓","朝东","整租","普通住宅","明德门","地铁口办公出租！地铁口！陕师大对面！带办公家具"
"145平米","3室2厅2卫","豪华装修","面议","7000元/月","20/32","雁塔","中海东郡","南北","整租","普通住宅","大唐芙蓉园","中海东郡 豪华装修 三室  全新家具家电  诚心出租 随时看"
"94平米","2室2厅1卫","精装修","面议","1600元/月","4/18","未央","华远君城","南北","整租","普通住宅","辛家庙","华远君城精装两室 明厨明卫 送一年宽带 拎包入住"
"50平米","1室1卫","精装修","付3押1","1800元/月","15/30","雁塔","橡树星座","朝南","整租","普通住宅","高新一中","高新软件园 旺座现代城旁 橡树星座 一室全配 可直接拎包入住"
"40平米","1室1卫","精装修","付1押1","1099元/月","19/32","莲湖","丽苑山水","朝南","整租","普通住宅","劳动公园","可月付莲湖区沣镐东路劳动公园西安航空学院旁丽苑山水精装一居室"
"90平米","2室2厅1卫","精装修","半年付","2200元/月","7/11","未央","白桦林居","东西","整租","普通住宅","行政中心","凤城九路 白桦林居 小高层 两室精装拎包入住 2200/月"
"90平米","3室2厅1卫","简单装修","付3押1","2000元/月","2/32","莲湖","万科金色悦城","南北","整租","普通住宅","枣园","万科金色悦城 3室2厅1卫"
"90平米","2室2厅1卫","精装修","半年付押1","2100元/月","10/32","新城","雅苑东方","朝西","整租","普通住宅","建工路","建工路 公园南路 繁华十字 雅苑东方 两室精装  随时看房"
"130平米","3室2厅1卫","精装修","半年付押1","2200元/月","4/12","莲湖","草阳村小区","东南","整租","普通住宅","西关正街","草阳村十字 草阳高层 大三室空房 可办公 可住家 便宜租"
"84平米","2室1厅1卫","精装修","半年付不押","2000元/月","30/32","未央","汇通太古城","朝南","整租","普通住宅","北苑","为你而选为你为家 青都新界 2室1厅 84平"
"75平米","1室1厅1卫","精装修","半年付押1","2500元/月","1/32","雁塔","中海紫御华府","朝南","整租","普通住宅","大唐芙蓉园","中海紫御华府 交通便利 精装一室 拎包入住 随时看房"
"50平米","1室1厅1卫","简单装修","付3押1","1100元/月","17/33","莲湖","汉都故里","南北","整租","普通住宅","枣园","精装修带家具家电性价比出行方便拎包入住中层随时看房价格"
"89平米","2室2厅1卫","简单装修","半年付","2600元/月","20/33","雁塔","缤纷南郡","南北","整租","普通住宅","锦业路","缤纷南郡 精装修两室 拎包入住 随时看房"
"87平米","2室2厅1卫","精装修","付3押1","1900元/月","13/25","未央","利君花园","朝南","整租","普通住宅","市图书馆","市图书馆地铁口 两室纯南房 全配拎包住 有暖气 急租"
"55平米","1室1厅1卫","精装修","付1押1","1450元/月","17/31","雁塔","澳城大厦","朝南","整租","普通住宅","电视塔","电视塔精装开间  纯南好户型  价格合理  紧急出租"
"95平米","2室2厅1卫","精装修","半年付押1","2500元/月","6/29","未央","荣民宫园中央","东南","整租","普通住宅","大明宫","大明宫西地铁口 两室精装 拎包入住 房子装修好 干净随时入住"
"28平米","4室1厅1卫","精装修","付3押1","800元/月","9/34","碑林","合能朱阙","东南","合租","公寓","黄雁村","合能朱阙 朱雀大街 中贸街 大学东路 南门 精装卧室单间出租"
"65平米","2室1厅1卫","简单装修","半年付","1200元/月","6/7","新城","太华小区","南北","整租","普通住宅","含元路","太华，两室，65平，天然气，暖气房！家具加电"
"45平米","1室1厅1卫","精装修","付3押1","1100元/月","15/30","雁塔","时丰姜溪花都","朝南","整租","普通住宅","雁环中路","可月付电视塔 三爻 姜溪花都 精装1室全陪 性价比高 随时可"
"143平米","3室2厅2卫","中等装修","付3押1","2000元/月","13/26","未央","华远君城","南北","整租","普通住宅","辛家庙","A88（华远君城） 3室精装修 随时拎包入住"
"90平米","2室2厅1卫","精装修","半年付押1","2700元/月","10/11","雁塔","曲江海天华庭","朝南","整租","普通住宅","曲江大道","海天华庭 两室精装+家具+近地铁+龙湖星悦荟+吃饭购物"
"96平米","2室2厅1卫","精装修","半年付押1","2000元/月","6/7","雁塔","金裕花园","朝南","整租","普通住宅","翠华路","金裕花园 西影路3号线大雁塔站 两室 有家具家电 有暖气"
"137平米","3室2厅2卫","简单装修","面议","2800元/月","4/6","雁塔","紫薇田园都市E区","南北","整租","普通住宅","中兴产业园","紫薇E区三室，南北通透，中装全配，花园学校都离得近！"
"129平米","3室2厅2卫","精装修","面议","2600元/月","3/6","灞桥","沁水新城","南北","整租","普通住宅","长乐坡","沁水新城  灞桥区 品质小区"
"27平米","4室1厅2卫","精装修","付3押1","730元/月","15/29","莲湖","公园国际","朝南","合租","公寓","丰庆公园","南二环 丰庆公园 公园国际 精装全配 双气可做饭 仅此一套"
"70平米","2室1厅1卫","简单装修","半年付押1","900元/月","5/7","雁塔","开元小区","南北","整租","普通住宅","青龙寺","雁翔路 南二环 兴庆桥地铁口 开元小区2室出租 看房有钥匙"
"45平米","1室1厅1卫","简单装修","半年付押1","1500元/月","5/5","碑林","西安体育学院家属院","朝南","整租","普通住宅","南稍门","注意啦！！！体院教工公寓一室好房紧急出租！采光好！免费上网！"
"30平米","1室1卫","精装修","付3押1","1200元/月","16/32","雁塔","华洲城","朝东","整租","普通住宅","大寨路","紧邻地铁口 精美装修温馨小房 自住装修 新房首租全明户型"
"174平米","4室2厅2卫","豪华装修","面议","5100元/月","17/26","未央","雅荷春天","南北","整租","普通住宅","张家堡","地铁口 西安中学旁 豪华装修大四室 中央空调 业主诚租 随时"
"22平米","3室1厅2卫","精装修","付1押1","500元/月","15/32","碑林","西荷花园","南北","合租","普通住宅","黄雁村","西工大 太白立交 人才市场 友谊西路 边家村 西荷花园 尊域"
"100平米","3室2厅1卫","精装修","半年付押1","2300元/月","24/31","莲湖","省直机关丰园小区","南北","整租","普通住宅","丰庆公园","桃园南路 省直机关家属院 三室中装全配拎包入住2300 双气"
"98平米","2室2厅1卫","精装修","半年付","2200元/月","27/31","未央","万科荣华金域名城","西南","整租","普通住宅","凤城五路","市图书馆 凤城二路 金域名城 精装修两居室 给您一个温馨的家"
"150平米","2室2厅2卫","中等装修","面议","3500元/月","19/20","雁塔","壹又贰分之壹国际公寓","西南","整租","公寓","小寨","小寨东路一又二分之一公寓中装修空调可办公3500元"
"90平米","1室2厅1卫","精装修","面议","2200元/月","33/33","雁塔","融侨紫薇馨苑","东南","整租","普通住宅","电子城","融侨一居 高楼层 采光好 户型好"
"96平米","2室1厅1卫","精装修","半年付","2600元/月","20/32","雁塔","裕昌太阳城西区","朝南","整租","普通住宅","电子城","再等,租价又不会掉,再挑,就那么几套,没有,只有更好！"
"70平米","2室1厅1卫","精装修","半年付","1000元/月","6/6","新城",,"南北","整租","普通住宅","康复路","康复路锦绣商贸城对面华清公务小区南北通透采光好可随时看房"
"142平米","3室2厅2卫","精装修","半年付","4000元/月","13/26","雁塔","四季风景","南北","整租","普通住宅","高新一中","三室好房，家电齐全，出门就是高新一小，温馨舒适，拎包入住！！"
"101平米","3室2厅2卫","精装修","付3押1","5000元/月","17/32","雁塔","香榭兰廷","南北","整租","普通住宅","木塔寺公园","业主可以长期出租 香榭兰廷三室新装修 家具家电齐全"
"260平米","4室3厅2卫","毛坯","半年付","15000元/月","6/6","雁塔","金地芙蓉世家(公寓)","南北","整租","普通住宅","大唐芙蓉园","金地芙蓉世家中间位置 顶层带露台 观芙蓉园全景拎包入住带车位"
"110平米","2室1厅1卫","毛坯","半年付","3000元/月","18/32","未央","国金华府","东南","整租","普通住宅","张家堡","汉神购物广场旁 国金华府 3000元/月 精装2室 可拎包入"
"190平米","3室2厅2卫","精装修","面议","4000元/月","20/24","雁塔","枫叶新都市","西南","整租","普通住宅","科技路","高新区  科技路 沣惠南路 枫叶新都市 精装修大三室拎包入住"
"25平米","3室1厅1卫","精装修","付3押1","699元/月","4/25","雁塔","新加坡花园小区","东南","合租","公寓","木塔寺公园","小寨 新加坡小区 福满园 兴善寺西街 卧室出租 好房不等人"
"97平米","2室2厅1卫","简单装修","半年付押1","1450元/月","5/7","碑林","陕建一公司家属院","南北","整租","普通住宅","黄雁村","新城区 胡家庙 陕建机施一区 2室2厅  拎包入住"
"84平米","2室2厅1卫","精装修","半年付","2500元/月","16/32","雁塔","枫韵蓝湾","东南","整租","普通住宅","大寨路","丈八北路地铁口  枫韵蓝湾 精装两室 东南朝向"
"87平米","2室2厅1卫","精装修","付3押1","2400元/月","12/32","莲湖","景寓学府","朝南","整租","普通住宅","西关正街","丰庆路 西工大旁 景寓学府精装修纯南两室 看房方便 拎包入住"
"188平米","4室2厅2卫","精装修","面议","4000元/月","8/15","碑林","长征左邻右舍东区","南北","整租","普通住宅","李家村","文艺路建西街 左邻右舍 四室精装 紧邻雁小文小 看房有钥匙"
"36平米","1室1卫","精装修","面议","1700元/月","17/26","雁塔","龙记观澜山","朝东","整租","公寓","高新一中","温馨1室 拎包入住 精装修 宜家家居 龙记观澜山 随时看房"
"37平米","1室1卫","简单装修","付3押1","1100元/月","32/33","雁塔","中环国际城北区","朝南","整租","普通住宅","长安西路","电视塔三环里有家有爱有温急租中环国际城1室随时看"
"80平米","2室1厅1卫","简单装修","半年付押1","1800元/月","2/7","新城","群策巷社区","朝南","整租","普通住宅","解放路","《祺域*房源》东六路人民银行家属院2室全配诚意出租1800"
"25平米","1室1卫","精装修","付3押1","1000元/月","13/26","雁塔","高新枫尚","朝南","整租","普通住宅","光华路","高新路世纪金花亚美大厦旁高新枫尚精美一室{地暖+提包住}随看"
"100平米","2室2厅1卫","毛坯","面议","2200元/月","9/12","雁塔","紫薇田园都市B区","南北","整租","普通住宅","中兴产业园","紫薇简装两室  自住  兴趣班均可   免费暖气"
"80平米","2室2厅1卫","精装修","半年付押1","2400元/月","23/34","莲湖","御溪书院","南北","整租","普通住宅","西关正街","大塘西市 御溪书院 精装俩室好房 配置齐全 拎包入住 便宜租"
"40平米","1室1卫","精装修","半年付押1","1600元/月","14/27","雁塔","城市皇冠","朝南","整租","普通住宅","光华路","高新四路 城市皇冠 精装开间 高新区配套齐全 随时看房"
"55平米","1室1厅1卫","精装修","付1押1","2000元/月","15/32","莲湖","景寓学府","朝南","整租","公寓","西关正街","西关丰庆路景寓学府 租金月付 拎包入住"
"28平米","3室2厅2卫","精装修","付1押1","650元/月","13/30","雁塔","长丰园二期","西南","合租","普通住宅","电视塔","电视塔合租单间500之1000，暖气，WiFi，热水，可月付"
"81平米","3室2厅1卫","精装修","半年付","2700元/月","17/27","雁塔","天朗蓝湖树","东南","整租","普通住宅","鱼化寨","天朗蓝湖树 精装小三室 看房有钥匙 拎包入住 只需2700"
"143平米","3室2厅2卫","精装修","半年付押1","2800元/月","10/20","长安","紫薇田园都市K区","南北","整租","普通住宅","祝村中学","紫薇K区 精装修三室 小区中间不临街 南北通透 带电梯"
"90平米","2室2厅1卫","简单装修","付3押1","2600元/月","13/26","雁塔","金泰假日花城","西南","整租","普通住宅","电子城","高新区 金泰假日花城 两室全新家具家电"
"115平米","3室2厅1卫","精装修","半年付","3500元/月","3/7","新城","民乐园住宅区北区","南北","整租","普通住宅","康复路","精装三室 拎包入住 电梯双气 家具家电全齐 好房不可错过"
"130平米","3室2厅2卫","毛坯","半年付","5500元/月","11/18","雁塔","融侨曲江观邸","南北","整租","普通住宅","雁塔南路","境商速递：曲江观邸 三室南北通透 小区中间位置 拎包住"
"48平米","1室1卫","精装修","付3押1","1800元/月","20/29","雁塔",,"朝东","整租","普通住宅","高新一中","高新路 高新三小附近 望庭国际 精装一室 朝东1800"
"86平米","2室2厅1卫","精装修","面议","2200元/月","29/30","雁塔","海亮新英里","朝南","整租","普通住宅","西沣路","高新一中旁海亮新英里精装2室好房诚心长期出租家电厨卫齐全"
"80平米","3室2厅1卫","简单装修","年付","1300元/月","3/7","碑林",,"南北","整租","普通住宅","东关正街","兴庆路 近西京医院 简装三室 全配 拎包入住 天然气 南北"
"80平米","2室2厅1卫","精装修","付1押1","1400元/月","26/33","莲湖","华府御城","西南","整租","普通住宅","丰禾路","太奥南下 华府御城 两室精装 可办公 可住家 1400看"
"126平米","3室2厅1卫","精装修","面议","2300元/月","25/29","未央","中登家园","西北","整租","普通住宅","张家堡","中登家园  大三室  中装全配  拎包入住  随时看房"
"95平米","2室2厅1卫","精装修","面议","1500元/月","4/18","未央","航天常青苑","朝南","整租","普通住宅","张家堡","航天常青苑 两室 南向 空房 有空调 房子很干净 随时看房"
"33平米","1室1厅1卫","精装修","付3押1","1200元/月","8/31","雁塔","华洲城","朝西","整租","普通住宅","大寨路","高新区 大寨路 三号线鱼化寨地铁 全新出租 高新附近上班首宣"
"61平米","2室2厅1卫","精装修","面议","1700元/月","15/26","雁塔","东尚蜂鸟","南北","整租","普通住宅","中兴产业园","温馨小两室 全配房 拎包住 放心房源 有钥匙 随时看房"
"67平米","2室1厅1卫","精装修","半年付","1600元/月","27/27","莲湖","天朗莱茵小城","朝西","整租","普通住宅","红光路","天朗莱茵小城精装两室，房子舒适干净。适合小两口居住。"
"124平米","3室2厅2卫","精装修","半年付","4000元/月","23/32","雁塔","中建群贤汇","南北","整租","普通住宅","大寨路","团结南路  中建群贤汇  三室新房南北通透 *出租！！！"
"41平米","1室1卫","精装修","半年付押1","1800元/月","15/32","雁塔","融尚第10区","朝东","整租","普通住宅","明德门","小寨交大一附院融尚第10区阳阳国际朱雀云天明德门吉祥村"
"33平米","1室1厅1卫","精装修","面议","1500元/月","28/30","长安","林隐天下(公寓)","朝南","整租","公寓","祝村中学","高新西部大道紫薇田园都市阳光天地林隐天下精装一室全配拎包入住"
"307平米","5室3厅3卫","精装修","半年付","20000元/月","1/3","雁塔","曲江航天御苑","南北","整租","别墅","大唐芙蓉园","境商速递 芙蓉园旁 航天御苑 精装全配联排别墅 可办公可住家"
"115平米","2室2厅2卫","精装修","半年付","2900元/月","20/31","莲湖","开元商住小区","朝西","整租","普通住宅","西关正街","西稍门十字 超大客厅 位置繁华可办公 随时看房 开元小区"
"23平米","2室1厅1卫","精装修","付3押1","650元/月","8/32","碑林","学府首座","朝南","合租","普通住宅","西安交大","个人延兴门新安医院武警医院居然之家信号厂立丰国际百盛单间出租"
"108平米","1室1厅1卫","中等装修","半年付","2200元/月","21/33","未央","海璟时代","朝南","整租","普通住宅","凤城五路","地铁口 西安中学旁 精装大两室 业主诚心出租 随时看房"
"140平米","2室2厅1卫","精装修","半年付","3000元/月","17/23","莲湖","鸿运大厦","朝南","整租","普通住宅","西关正街","西稍门 鸿运大厦 两室两厅一卫 精装双气 办公居家 拎包住"
"40平米","1室1厅1卫","精装修","半年付押1","1200元/月","5/5","长安","融发心园","朝南","整租","公寓","郭杜","长安郭杜融发心园1室1厅，精装拎包入住。"
"82平米","2室2厅1卫","精装修","半年付","2300元/月","10/18","雁塔","中海凯旋门","朝南","整租","普通住宅","曲江城市运动公园","全新家具家电 公园+地铁 中海凯旋门 精装2室 拎包入住"
"90平米","2室2厅1卫","简单装修","半年付押1","1600元/月","2/7","未央","雅荷智能家园","南北","整租","普通住宅","市图书馆","雅荷两室 户型方正 双气入户 么问题！！"
"65平米","2室1厅1卫","毛坯","半年付","2500元/月","16/34","雁塔","高新大都荟","朝北","整租","普通住宅","光华路","高新大都荟 小两室精装修 温馨舒适  拎包住 采光好"
"70平米","2室1厅1卫","简单装修","半年付押1","1800元/月","14/32","碑林","朱雀坊","东北","整租","普通住宅","黄雁村","房子再好你不点进来我说啥都没用！动动您金贵的手指点开看看！！"
"68平米","2室2厅1卫","精装修","付3押1","2100元/月","33/34","雁塔","华城泊郡","朝南","整租","普通住宅","雁环中路","地铁口 华城泊郡 两室全配 精装出租 诚意急租 看房随时"
"57平米","1室1厅1卫","精装修","面议","1600元/月","10/11","未央","海荣雅庭花园","朝南","整租","普通住宅","张家堡","凤城六路 海荣雅庭花园 一室一厅 可拎包入住 交通便利"
"240平米","6室4厅2卫","精装修","半年付押1","1500元/月","10/32","碑林","学府首座","朝南","整租","普通住宅","西安交大","学府首座 交大东门对面   精装修可办公  近地铁口"
"96平米","2室2厅1卫","精装修","年付押1","2800元/月","9/34","雁塔","中海碧林湾","朝南","整租","普通住宅","大唐芙蓉园","中海碧林湾  两室两厅一卫  精装空房"
"70平米","1室1厅1卫","精装修","半年付","1600元/月","4/15","碑林","长征左邻右舍西区","朝东","整租","普通住宅","李家村","文艺路建西街左邻右舍，一室精装loft，有钥匙看房方便"
"85平米","2室2厅1卫","精装修","半年付","2400元/月","13/26","雁塔","利君明天","东北","整租","普通住宅","科技路","高新 丈八北路地铁口 利君明天小区  整租两室  提前联系看"
"156平米","3室2厅2卫","精装修","面议","2000元/月","3/6","未央","百花园","朝南","整租","普通住宅","凤城五路","百花园 3室2厅 156平"
"125平米","3室2厅2卫","精装修","半年付押1","4000元/月","10/18","雁塔","西安锦都","南北","整租","普通住宅","光华路","唐延路 锦都花园 园林小区 精装全配  4000元 随时看房"
"156平米","3室2厅2卫","毛坯","年付","5800元/月","8/12","雁塔","融侨曲江观邸","南北","整租","普通住宅","雁塔南路","曲江观邸 精装全配 南北通透 拎包入住 视野开阔"
"140平米","3室1厅2卫","精装修","半年付押1","6000元/月","6/30","碑林","中贸广场","朝南","整租","普通住宅","南稍门","LZ中贸广场步行街3室1厅140平精装空调6000月办公有钥"
"20平米","2室1厅1卫","精装修","付3押1","530元/月","11/28","碑林","中铁一局集团李家村东院住宅区","朝南","合租","公寓","李家村","友谊东路 建筑科技大 万达百货 323医院附近 精装单间出租"
"62平米","2室1厅1卫","精装修","面议","1400元/月","6/7","莲湖","民航小区","南北","整租","普通住宅","西关正街","西稍门十字 民航小区 两室全配 双气 拎包住 只租1400哦"
"53平米","1室1卫","精装修","面议","2000元/月","25/31","碑林","南门国际","朝东","整租","普通住宅","南稍门","南门国际公寓1室 53平 精装暖气家具家电拎包住"
"120平米","3室2厅2卫","精装修","半年付押1","3500元/月","5/25","雁塔","米罗蓝山","朝南","整租","普通住宅","科技路","高新六路北口 三室全配 温馨装修装修 拎包入住 随时看房"
"51平米","1室1卫","精装修","付3押1","1899元/月","15/32","雁塔","易道郡玫瑰公馆","朝西","整租","普通住宅","鱼化寨","高新区 软件园 科技四路 玫瑰公馆 带双气 拎包入住 189"
"20平米","3室1厅1卫","精装修","付3押1","500元/月","19/30","雁塔",,"朝南","合租","普通住宅","电子城","多套合租地铁口20米 4001000 应有尽有 干净温馨"
"96平米","2室2厅1卫","简单装修","半年付押1","2000元/月","4/6","长安","紫薇田园都市J区桂林山水","南北","整租","普通住宅","祝村中学","紫薇性价比两室，急租，紧邻阳光天地，生活非常方便"
"142平米","3室2厅2卫","简单装修","半年付","2600元/月","7/9","雁塔","世家星城二期","南北","整租","普通住宅","长安西路","世家星城精装三居室空房 带空调有暖气 诚心出租有钥匙急租"
"30平米","3室2厅2卫","精装修","付1押1","1000元/月","19/32","雁塔","朱雀云天","朝南","合租","普通住宅","明德门","纬一街地铁口附近 政法大学旁 精装单间 主卧带阳台 押一付一"
"96平米","2室2厅1卫","精装修","半年付押1","3500元/月","21/34","雁塔","中海御湖","朝南","整租","普通住宅","大唐芙蓉园","中海御湖  2室精装空房  房子很干净  可住家 可办公"
"90平米","2室2厅1卫","精装修","年付","2500元/月","26/33","雁塔","绿地国际生态城五湖名邸西区","朝南","整租","普通住宅","白杨寨","绿地五湖名邸 二室精装 三室朝南 采光好 随时可看房"
"62平米","2室1厅1卫","精装修","半年付押1","2300元/月","25/32","雁塔","融尚第10区","东北","整租","公寓","明德门","朱雀大街明德门朱雀云天融尚第十区 精装全配拎包入住"
"108平米","2室2厅1卫","精装修","半年付押1","2000元/月","1/18","雁塔","数码家园","南北","整租","普通住宅","雁翔路","交大附中数码家园2室出租拎包入住"
"20平米","3室1厅1卫","精装修","付3押1","750元/月","7/7","碑林","钟楼小区","南北","合租","普通住宅","南门","南大街附近 钟楼小区 精装单间 700起租 随时入住"
"55平米","1室1厅1卫","精装修","半年付押1","1600元/月","24/33","未央","盛世一品","朝北","整租","普通住宅","市图书馆","市图书馆地铁口，精装修一室 盛世一品，温馨舒服，拎包入住"
"64平米","2室1厅1卫","精装修","年付","1600元/月","2/4","莲湖","民航小区","南北","整租","普通住宅","西关正街","西稍门 民航家属院 两室全配 房子干净舒适 楼层2楼欢迎看房"
"86平米","2室2厅1卫","精装修","付3押1","2650元/月","9/17","雁塔","天地源枫林绿洲","朝南","整租","普通住宅","高新一中","枫林绿洲 两室全配采光好 有钥匙 家具家电齐全"
"45平米","1室1厅1卫","精装修","半年付","1700元/月","5/16","雁塔","唐延公馆","朝南","整租","普通住宅","科技路","（唐延公馆）高新区 公园旁 学校耸立 精装一室 拎包入住"
"59平米","1室1厅1卫","豪华装修","半年付押1","2400元/月","30/33","雁塔","橡树星座","朝北","整租","普通住宅","高新一中","旺座现代城旁橡树星座豪华装修1室1厅拎包入住 随时看房"
"143平米","3室2厅1卫","精装修","面议","2600元/月","13/18","未央","中登家园","东南","整租","普通住宅","张家堡","经开区租价仅2600元"
"128平米","3室2厅1卫","简单装修","年付","1700元/月","9/30","长安","挚信樱花园","南北","整租","普通住宅","郭杜","简单装修，随时方便看房子，业主诚心出租，价位可商量，采光好。"
"73平米","2室2厅1卫","精装修","半年付押1","1600元/月","29/32","灞桥","御锦城","朝南","整租","普通住宅","浐河西路","御锦城. 精装两室.带部分家电. 临近小学. 交通方便"
"115平米","3室2厅1卫","简单装修","半年付押1","1700元/月","15/33","未央","北李社区","朝南","整租","普通住宅","行政中心","凤城九路 北李社区 三室带简单家具 1700"
"183平米","4室2厅2卫","精装修","半年付","11000元/月","10/18","雁塔","天地源兰亭坊","南北","整租","普通住宅","木塔寺公园","万达旁 科技六路 天地源 兰亭坊 豪华装修四室出租 带车位"
"58平米","1室2厅1卫","简单装修","半年付押1","1350元/月","32/33","未央","凤城明珠","朝北","整租","普通住宅","市图书馆","城北 北二环 凤城明珠 1室2厅 拎包入住 仅需 1350元"
"106平米","3室2厅1卫","精装修","半年付","3000元/月","13/26","未央","赛高街区","南北","整租","普通住宅","凤城五路","赛高街区 地铁口旁 小三室 精装 办公与居住均可 看房随时"
"88平米","2室2厅1卫","简单装修","付1押1","1400元/月","8/18","未央","华远君城","朝南","整租","普通住宅","辛家庙","华远君城，88平两室空房，厨卫齐全，在租空房多"
"122平米","3室2厅2卫","精装修","付3押1","3000元/月","3/34","雁塔","万科金域曲江","朝南","整租","普通住宅","南湖","万科金域曲江 3000元 3室2厅2卫 精装修，家具家电齐全"
"96平米","2室2厅1卫","精装修","面议","2300元/月","3/12","雁塔","融侨紫薇馨苑","朝南","整租","普通住宅","电子城","电子城 两室精装 空房出租 三楼可办公位置好"
"80平米","2室1厅1卫","简单装修","半年付","1600元/月","1/30","新城","唐韵三坊","朝南","整租","普通住宅","胡家庙","新城 胡家庙 长缨东路 唐韵三坊  两室一厅一卫"
"93平米","2室2厅1卫","精装修","半年付押1","1600元/月","17/27","未央","浐灞半岛朱雀金堤A15区","朝南","整租","普通住宅","浐灞半岛","浐灞半岛a15区 两室温馨装修 近邻地铁口 随时看房"
"130平米","3室2厅2卫","精装修","付3押1","4000元/月","16/32","雁塔","中海华庭","南北","整租","普通住宅","光华路","唐延路 群贤道 中海华庭小区 3室整租"
